 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 2.05193E+09  2.406  3.641  1.748  7.747  5.540  0.982 1.39E-4 1.24E-3 0.0000 0.1994  2.403 0.1987 0.1995  0.000 0.0000 0.0000  0.000 -1.594  0.0000          
 2.05341E+09  2.464  3.637  1.674  7.753  5.561  0.982 1.39E-4 1.24E-3 0.0000 0.2031  2.462 0.2024 0.2031  0.000 0.0000 0.0000  0.000 -1.536  0.0000          
 2.05470E+09  2.522  3.633  1.599  7.759  5.582  0.982 1.39E-4 1.24E-3 0.0000 0.2067  2.520 0.2061 0.2068  0.000 0.0000 0.0000  0.000 -1.478  0.0000          
 2.05597E+09  2.585  3.629  1.520  7.767  5.604  0.982 1.39E-4 1.24E-3 0.0000 0.2108  2.583 0.2102 0.2109  0.000 0.0000 0.0000  0.000 -1.415  0.0000          
 2.05707E+09  2.646  3.625  1.442  7.775  5.626  0.982 1.39E-4 1.24E-3 0.0000 0.2150  2.643 0.2144 0.2150  0.000 0.0000 0.0000  0.000 -1.354  0.0055          
 2.05813E+09  2.708  3.620  1.360  7.783  5.649  0.982 1.39E-4 1.24E-3 0.0000 0.2195  2.706 0.2190 0.2196  0.000 0.0000 0.0000  0.000 -1.292  0.0159          
 2.05904E+09  2.768  3.616  1.285  7.792  5.671  0.982 1.39E-4 1.24E-3 0.0000 0.2241  2.765 0.2236 0.2241  0.000 0.0000 0.0000  0.000 -1.232  0.0289          
 2.05984E+09  2.828  3.611  1.206  7.801  5.693  0.982 1.39E-4 1.24E-3 0.0000 0.2286  2.825 0.2281 0.2287  0.000 0.0000 0.0000  0.000 -1.172  0.0428          
 2.06060E+09  2.887  3.606  1.126  7.811  5.716  0.982 1.39E-4 1.24E-3 0.0000 0.2336  2.884 0.2332 0.2337  0.000 0.0000 0.0000  0.000 -0.812  0.0534          
 2.06127E+09  2.946  3.602  1.049  7.821  5.739  0.982 1.39E-4 1.24E-3 0.0000 0.2386  2.943 0.2382 0.2387  0.000 0.0000 0.0000  0.000 -0.753  0.0649          
 2.06191E+09  3.005  3.596  0.969  7.831  5.763  0.982 1.39E-4 1.24E-3 0.0000 0.2440  2.998 0.2436 0.2441  0.000 0.0000 0.0000  0.000 -0.694  0.0766          
 2.06255E+09  3.067  3.591  0.888  7.844  5.791  0.982 1.39E-4 1.24E-3 0.0000 0.2504  3.057 0.2501 0.2504  0.000 0.0000 0.0000  0.000 -0.632  0.0881          
 2.06310E+09  3.131  3.586  0.802  7.855  5.818  0.982 1.39E-4 1.24E-3 0.0000 0.2566  3.108 0.2564 0.2567  0.000 0.0000 0.0000  0.000 -0.568  0.0948          
 2.06359E+09  3.188  3.581  0.726  7.867  5.844  0.982 1.39E-4 1.24E-3 0.0000 0.2629  3.161 0.2626 0.2629  0.000 0.0000 0.0000  0.000 -0.511  0.1039          
 2.06404E+09  3.248  3.577  0.648  7.879  5.872  0.982 1.39E-4 1.24E-3 0.0000 0.2696  3.221 0.2693 0.2696  0.000 0.0000 0.0000  0.000 -0.275  0.1091          
 2.06447E+09  3.305  3.572  0.572  7.890  5.900  0.982 1.39E-4 1.24E-3 0.0000 0.2765  3.276 0.2763 0.2765 -0.695 0.0000 0.1379  0.000 -0.218  0.1146          
 2.06486E+09  3.360  3.568  0.500  7.897  5.920  0.982 1.39E-4 1.24E-3 0.0000 0.2844  3.357 0.2842 0.2844  3.068 0.0000 0.0798  0.000 -0.038  0.0424  F       
